Episode 25, max=39
Episode 50, max=61
Episode 75, max=61
Episode 100, max=61
Episode 125, max=69
Episode 150, max=69
Episode 175, max=69
Episode 200, max=69
Episode 225, max=69
Episode 250, max=69
Episode 275, max=69
Episode 300, max=69
Episode 325, max=69
Episode 350, max=69
Episode 375, max=86
Episode 400, max=86
Episode 425, max=86
Episode 450, max=86
Episode 475, max=86
Episode 500, max=86
Episode 525, max=86
Episode 550, max=86
Episode 575, max=86
Episode 600, max=86
Episode 625, max=86
Episode 650, max=88
Episode 675, max=96
Episode 700, max=105
Episode 725, max=105
Episode 750, max=164
Episode 775, max=164
Episode 800, max=164
Episode 825, max=164
Episode 850, max=164
Episode 875, max=164
Episode 900, max=164
Episode 925, max=164
Episode 950, max=164
Episode 975, max=185
Episode 1000, max=185
Episode 1025, max=185
Episode 1050, max=185
Episode 1075, max=185
Episode 1100, max=191
Episode 1125, max=191
Episode 1150, max=244
Episode 1175, max=501
Episode 1200, max=501
Episode 1225, max=501
Episode 1250, max=501
Episode 1275, max=501
Episode 1300, max=501
Episode 1325, max=501
Episode 1350, max=501
Episode 1375, max=501
Episode 1400, max=501
Episode 1425, max=501
Episode 1450, max=501
Episode 1475, max=501
Episode 1500, max=501
500
